,Comments,sentiment
0,Easy helpful and fast,5
1,"Human nature is tired when hearing a police site but I am proud to visit Dubai police website

Your brother Abdullah Ahmed Mohamed Hamdan",4
2,Good,4
3,"Slow system, law enforcement officers are highly poor at communication and explaining systemic issues, clarity is not there, holding individuals in contempt with no explanation and whatnot causes great agitation and panic to those connected with the individual being held in contempt, not at all a fast system, and I wish I could say a million things to you such as the theft and robbery you guys adhere to with these rules and road regulations in imply to acquire wealth with such ease.",1
4,"activation code did not receive all the day, I can t complete my report
Refaat Ashry
0563439473",1
5,it was much easier,3
6,Very good app,5
7,Bottons not working. Unable to login. Difficult to find information on a website.,1
8,"I m really Hard worker as an Expertise in Social Media Manger and Creative Graphic Designer here at Pakistan.

I really dream to work with Dubai Police if you hire me

Recently Graduated from Best university in Pakistan.

I have 3 years if experience in Social media and Creative Graphics.",2
9,I can t download the report or viewing,1
10,"Hello thank you 
Please try to be fast, to take the necessary action quickly",5
11,Awesome,5
12,Good work thanks sir for all,5
13,Dubai police is the best,5
14,I don t have access to report an accident.,1
15,Where is the special service for employees and individuals?,3
16,Not clear about application status .details not updated.,1
17,So there is no logout? Once logged one cannot logout?,1
18,thank,5
19,We are proud on dubai government,5
20,I spoke to the customer service agent and follow up on my police clearance certificate that was requested 7 days ago. He checked and confirm that it will be issued within 2 days but was processed after 2 hours after our conversation. Very apologetic due to the delay and I really appreciate the help. Thank you Sir!,5
21,not allowing me to type location for the lost item.,1
22,Quick and fastest,5
23,I couldnot get the payment link even after clicking on the email sent by dubai police,1
24,we love dubai,5
25,Just called 901 to get information about my ticket and they put me on hold and never came back.  NOT GOOD!!,1
26,Great,5
27,I m not receiving any help regarding my lost case. I called and I felt the person speaking to me was a little rude.,2
28,Thank you Dubai,5
29,Can t complete the clam against my fine,2
30,"why do you block me everytime i post a complaint , im from india .",1
31,excellent source,5
32,where is the link to dispute a traffic fine??,1
33,hjhjhjhjh,1
34,Good jod,4
35,Dubai is always one of you thank you,5
36,"May the peace, blessings, and mercy of God be upon you
I called for more than once and I did not get a response
As well as customer service separates the line without an answer
Thanks",1
37,Tony's violations are new,4
38,cool,5
39,Can t sole the problem,1
40,i didnt get my police clearance report,1
41,Can be able to pay for my police clearance,5
42,its nice,4
43,Everything is good..,4
44,Make life easier thanks uae,5
45,Sir kl mera bike aur car ka exident howa tha Jo ap log agar wo insurance paper Ben skyay ho to bejo plz,5
46,As estimated to serve the Saadi card,5
47,its very pres,3
48,"Transaction failed for unknown reason. 
The numbers I have been given to investigate are not available.046063907 09 03. No one answers. No advise how and where I can pay my fines",1
49,Thanks good service,5
50,I have payed money and it get lost no respond,1
51,Its very useful and user friendly,5
52,And you,5
53,"Where can i pay my bill? not clear at all, link proposes only information, no payment solution... you have to improve",1
54,I report an online accident but in police report by mistake they mention wrong location now I m facing issue with insurance claim due to wrong location in report,1
55,Red line crossing,5
56,happy for the services and keepsake,5
57,Thank you,5
58,"Mozamel Modawi - Security officer -RTA - Al barsha - helped me a lot completing the process, I do thank him for that - he made my day !",5
59,I try to validate a certificate for a check loss and I could not,1
60,"Nice to be dealing and reposne back very quickly and good   
Thanks",5
