,Comments
0,Easy helpful and fast
1,"Human nature is tired when hearing a police site but I am proud to visit Dubai police website

Your brother Abdullah Ahmed Mohamed Hamdan"
2,Good
3,"Slow system, law enforcement officers are highly poor at communication and explaining systemic issues, clarity is not there, holding individuals in contempt with no explanation and whatnot causes great agitation and panic to those connected with the individual being held in contempt, not at all a fast system, and I wish I could say a million things to you such as the theft and robbery you guys adhere to with these rules and road regulations in imply to acquire wealth with such ease."
4,"activation code did not receive all the day, I can t complete my report
Refaat Ashry
0563439473"
5,it was much easier
6,Very good app
7,Bottons not working. Unable to login. Difficult to find information on a website.
8,"I m really Hard worker as an Expertise in Social Media Manger and Creative Graphic Designer here at Pakistan.

I really dream to work with Dubai Police if you hire me

Recently Graduated from Best university in Pakistan.

I have 3 years if experience in Social media and Creative Graphics."
9,I can t download the report or viewing
10,"Hello thank you 
Please try to be fast, to take the necessary action quickly"
11,Awesome
12,Good work thanks sir for all
13,Dubai police is the best
14,I don t have access to report an accident.
15,Where is the special service for employees and individuals?
16,Not clear about application status .details not updated.
17,So there is no logout? Once logged one cannot logout?
18,thank
19,We are proud on dubai government
20,I spoke to the customer service agent and follow up on my police clearance certificate that was requested 7 days ago. He checked and confirm that it will be issued within 2 days but was processed after 2 hours after our conversation. Very apologetic due to the delay and I really appreciate the help. Thank you Sir!
21,not allowing me to type location for the lost item.
22,Quick and fastest
23,I couldnot get the payment link even after clicking on the email sent by dubai police
24,we love dubai
25,Just called 901 to get information about my ticket and they put me on hold and never came back.  NOT GOOD!!
26,Great
27,I m not receiving any help regarding my lost case. I called and I felt the person speaking to me was a little rude.
28,Thank you Dubai
29,Can t complete the clam against my fine
30,"why do you block me everytime i post a complaint , im from india ."
31,excellent source
32,where is the link to dispute a traffic fine??
33,hjhjhjhjh
34,Good jod
35,Dubai is always one of you thank you
36,"May the peace, blessings, and mercy of God be upon you
I called for more than once and I did not get a response
As well as customer service separates the line without an answer
Thanks"
37,Tony's violations are new
38,cool
39,Can t sole the problem
40,i didnt get my police clearance report
41,Can be able to pay for my police clearance
42,its nice
43,Everything is good..
44,Make life easier thanks uae
45,Sir kl mera bike aur car ka exident howa tha Jo ap log agar wo insurance paper Ben skyay ho to bejo plz
46,As estimated to serve the Saadi card
47,its very pres
48,"Transaction failed for unknown reason. 
The numbers I have been given to investigate are not available.046063907 09 03. No one answers. No advise how and where I can pay my fines"
49,Thanks good service
50,I have payed money and it get lost no respond
51,Its very useful and user friendly
52,And you
53,"Where can i pay my bill? not clear at all, link proposes only information, no payment solution... you have to improve"
54,I report an online accident but in police report by mistake they mention wrong location now I m facing issue with insurance claim due to wrong location in report
55,Red line crossing
56,happy for the services and keepsake
57,Thank you
58,"Mozamel Modawi - Security officer -RTA - Al barsha - helped me a lot completing the process, I do thank him for that - he made my day !"
59,I try to validate a certificate for a check loss and I could not
60,"Nice to be dealing and reposne back very quickly and good   
Thanks"
61,amazing website and services
62,Thanks police
63,Dubai Police is providing a better service and friendly support to the people who are having a problems. I love you Dubai Police.
64,It s very good
65,I can t pay my fines because of a glitch in your system
66,easy to operate
67,Report is not downloading
68,Thanks
69,"Again i have filled all details, and at last  The access not allowed currently"
70,"Website is not working properly, when i complained page responded  the access is not allowed. 
at last."
71,For the site of Abi pay what is worth
72,"the best service ever ,I love U.A.E, and I love Dubai."
73,Thanks
74,I can t find where to apply for my clearance certificate from
75,Always the best in efficient service
76,Very easy to navigate and clear content.
77,Wrong fine issued without providing any basis or giving the opportunity of being heard!!!
78,I tried to use your ecrime site and it didn t work.  This is the number of the person who called me and requested financial details pretending that he was Dubai police member 052 7985526
79,"No one has been communicated for the violation number
9004545936
Despite the presence of a parliamentary statement
Did not be canceled from the system - please communicate as the vehicle renovation will end soon"
80,"Her Name is Chamika fernandez  she from srilankan
She s working elegally on visit visa since 7 month 
Her contact number  971 55 745 2094"
